OWNER,VESSEL,Charterer,Size,Grade,Load,Disch.,Date,$,Rate,Comment,Status,Month,YEAR,LR1/LR2,Load Region,Disc Region,Decade
ARGYLL,ARGYLL TBN,ENOC,"60,000",JET,ruwais,jebel ali,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,AG,1
GEM,GULF CRYSTAL,RELIANCE,"60,000",UMS,sikka,singapore,1-Jan-2017,WS,95.0,BSS SINGAPORE,FXD,1,2017,#REF!,WCI,SEA,1
NAVIG8,HERMIONE,CNR,"55,000",CPP,ras laffan,daesan,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
PRIME,SPOTTAIL,TRAFIGURA,"65,000",JET,sikka,pengerang,1-Jan-2017,WS,95.0,BSS SPORE - POSS ANOTHER CHRTR,FXD,1,2017,#REF!,WCI,SEA,1
SCORPIO,STI MADISON,ATC,"80,000",ULSD,jubail,ras tanura,1-Jan-2017,$,210000.0,,FXD,1,2017,#REF!,AG,AG,1
KPC,WAFRAH,KPC?,"90,000",JET,mina al ahmadi,le havre,1-Jan-2017,OP,OP,,FXD,1,2017,#REF!,AG,UKC,1
PRIME,WALLEYE,TRAFIGURA,"60,000",UMS,vadinar,singapore,1-Jan-2017,WS,95.0,"BSS SPORE, SWAPPED IN FOR SPOTTAIL",FXD,1,2017,#REF!,WCI,SEA,1
ADNATCO,DIYYINAH-I,LOTTE TITAN,"55,000",NAP,ruwais,pasir gudang,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,SEA,1
NAVIG8,HERMIONE,CNR,"55,000",NAP,ras laffan,singapore,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,SEA,1
MOSK,PHOENIX DREAM,CNR,"75,000",NAP,ras laffan,tokuyama,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
SK ENERGY,PRO ALLIANCE,CNR,"75,000",NAP,ruwais,kaohsiung,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,WCI,TAIWAN,1
SK ENERGY,PRO TRIUMPH,CNR,"75,000",NAP,mina al ahmadi,yosu+ulsan,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
ST SHIPPING,VAN PHONG 1,VITOL,"75,000",NAP,ruwais,map ta phut,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,SEA,1
HEIDMAR,YANG LI HU,CNR,"75,000",NAP,sitra,yokkaichi,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
PRIME,FLAGSHIP PRIVET,ATC,"60,000",CPP,jebel ali,mombasa,2-Jan-2017,WS,125.0,,FXD,1,2017,#REF!,AG,EAFR,1
ST SHIPPING,FRONT TIGER,ST SHIPPING,"90,000",GO,singapore,singpore,2-Jan-2017,TCT,17250.0,"6-8 MONTHS, NEEDS CHECKING",FXD,1,2017,#REF!,SEA,SEA,1
NAVIG8,NAVIG8 EXCEL,SAHARA,"60,000",GO,huangdao,singapore,2-Jan-2017,RNR,RNR,BSS SPORE,FXD,1,2017,#REF!,SCHINA,SEA,1
NAVIG8,NAVIG8 EXPRESS,BP,"60,000",GO,sikka,singapore,2-Jan-2017,WS,122.5,"BSS SPORE, $1.375 BSS WAFR",FXD,1,2017,#REF!,WCI,SEA,1
ST SHIPPING,TAO LIN WAN,CNR,"60,000",GO,kaohsiung,singapore,2-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,TAWAIN,SEA,1
STRAITS,BREEZY VICTORIA,ITOCHU,"55,000",NAP,sikka,mailiao,2-Jan-2017,WS,106.0,BSS JAPAN,FXD,1,2017,#REF!,WCI,TAIWAN,1
LYKIARDOPULO,SUVRETTA,CARGILL,"75,000",NAP,ruwais,mailiao,2-Jan-2017,WS,98.0,BSS JAPAN,FXD,1,2017,#REF!,AG,TAIWAN,1
UPT,CAPE TAMPA,CNR,"55,000",NAP,mumbai,yosu+ulsan,2-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,WCI,NASIA,1
BW,BW COLUMBIA,BP,"60,000",GO,singapore,tanjung sekong,3-Jan-2017,$,335000.0,BSS INDO,FXD,1,2017,#REF!,SEA,SEA,1
GEM,GULF VISION ,TRAFIGURA,"80,000",COND,bayu undan,singapore,3-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,SEA,SEA,1
SCORPIO,KHAWR ALADID,ATC,"80,000",ULSD,yanbu,tanjung pelepas,3-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,RSEA,SEA,1
KOCH,NEW CENTURY,BP,"60,000",ULSD,sitra,jebel ali,3-Jan-2017,$,187500.0,BSS FUJ,FXD,1,2017,#REF!,AG,AG,1
HEIDMAR,PACIFIC SKY,WINSON,"80,000",GO,ulsan,taipei,3-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,NASIA,TAIWAN,1
AMPTC,SEA SHELL,TRAFIGURA,"100,000",ULSD,sikka,rotterdam,3-Jan-2017,$,2000000.0,going via cape - NEWBUILD,FXD,1,2017,#REF!,AG,UKC,1
CHINA SHIPPING ,TONG LIN WAN,MARUBENI?,"75,000",NAP,ras laffan,chiba,3-Jan-2017,RNN,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
BW,BW KRONBORG,CNR,"60,000",CPP,onsan,singapore,4-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,NASIA,SEA,1
SHELL,ETERNAL DILIGENCE,SHELL,"60,000",GO+JET,mina abdullah,djibouti,4-Jan-2017,OP,OP,,FXD,1,2017,#REF!,AG,RSEA,1
STRAITS,HAFNIA AFRICA,BP,"60,000",JET,sikka,singapore,4-Jan-2017,WS,122.5,"BSS RSEA 600K,SPORE, $1.35 UKC, $350K BSS AG",FXD,1,2017,#REF!,WCI,SEA,1
HEIDMAR,NEW CONFIDENCE,TRAFIGURA,"60,000",UMS,dalian,singapore,4-Jan-2017,$,410000.0,BSS SPORE,FXD,1,2017,#REF!,NCHINA,SEA,1
PRIME,PIKE,CLEARLAKE,"60,000",UMS,fujairah,karachi,4-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,WCI,1
CHINA SHIPPING,HAI TUN ZUO,MARUBENI?,"55,000",NAP,mina abdulla,sakai,4-Jan-2017,WS,85.0,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,1
MAERSK,MAERSK PEARL ,SOCAR,"75,000",NAP,ras laffan,yosu + kashima ,4-Jan-2017,WS,109.0,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,1
MENA ENERGY,MARE NOSTRUM,SAHARA,"90,000",GO,sikka,dar es salaam,5-Jan-2017,WS,87.5,,FXD,1,2017,#REF!,WCI,EAFR,1
NAVIG8,NAVIG8 EXPRESS,CNR,"55,000",NAP,sikka,singapore,5-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,WCI,SEA,1
PRIME,GOLDEN SHINER,CNR,"60,000",CPP,yanbu,jebel ali,6-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,RSEA,AG,1
OTC,HONG ZE HU,TOTAL,"60,000",UMS,sikka,pulau bukom,6-Jan-2017,WS,125.0,BSS SPORE,FXD,1,2017,#REF!,WCI,SEA,1
ARGYLL,PETALI LADY,SHELL,"60,000",JET+GO,ras laffan+messaieed,djibouti,6-Jan-2017,$,500000.0,BSS DJIBOUTI,FXD,1,2017,#REF!,AG,RSEA,1
SCORPIO,RATNA NAMRATA,WINSON,"80,000",GO,singapore,singapore,6-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,SEA,SEA,1
CHINA SHIPPING,SHAN YING ZUO,TRAFIGURA,"60,000",UMS,quanzhou,singapore,6-Jan-2017,$,380000.0,BSS SPORE,FXD,1,2017,#REF!,SCHINA,SEA,1
MAERSK,MAERSK PIPER,ASAHI,"75,000",NAP,jebel dhanna,tokuyama,6-Jan-2017,WS,95.0,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,1
DYNACOM,LEADER,ADNATCO,"60,000",JET,ras laffan,ruwais,7-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,AG,1
MAERSK,MAERSK PELICAN,AMPOL,"90,000",ULSD,ulsan,kurnell+brisbane,7-Jan-2017,RNR,RNR,FXD IN D/C,FXD,1,2017,#REF!,NASIA,OZ,1
OTC,OCEAN LADY,WINSON,"90,000",ULSD,vadinar,singapore,7-Jan-2017,RNR,RNR,"DELIVERING TO OTC, COVERED OFF MARKET",FXD,1,2017,#REF!,WCI,SEA,1
SKS,SKS DOYLES,AMPOL,"75,000",JET+ULSD,yosu,botany bay,7-Jan-2017,WS,97.5,BSS OZZY,FXD,1,2017,#REF!,NASIA,OZ,1
CCI,UACC FALCON,WINSON?,"60,000",GO,incheon,mailiao,7-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,NASIA,TAIWAN,1
BP,GULF CASTLE,BP,"60,000",CPP,quanzhou,botany bay,8-Jan-2017,OP,OP,,FXD,1,2017,#REF!,SCHINA,OZ,1
NAVIG8,NAVIG8 PRESTIGE,SK ENERGY,"60,000",UMS,taiwan,singapore,8-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,TAWAIN,SEA,1
ADNATCO,BANI YAS,HPL,"55,000",NAP,ruwais,singapore,8-Jan-2017,COA,COA,,FXD,1,2017,#REF!,AG,SEA,1
MENA,BW ZAMBESI,BP,"55,000",NAP,ruwais,chiba,8-Jan-2017,WS,106.0,,FXD,1,2017,#REF!,AG,NASIA,1
PRIME,FLAGSHIP WILLOW,IDEMITSU,"55,000",NAP,rabigh,batangas+yosu,8-Jan-2017,WS,90.0,BSS JAPAN,FXD,1,2017,#REF!,RSEA,NASIA,1
MAERSK,SANMAR SONNET,HPL,"55,000",NAP,sts visak,haldia,8-Jan-2017,RNR,RNR,doing multiple lighterages ,FXD,1,2017,#REF!,ECI,ECI,1
ST SHIPPING,SCF ALPINE,ST SHIPPING,"55,000",NAP,sikka,mailiao-yosu,8-Jan-2017,OP,OP,,FXD,1,2017,#REF!,WCI,TAIWAN+NASIA,1
BW,BW DANUBE ,VITOL,"60,000",CPP,fujairah,mailiao,9-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,TAIWAN,1
NYK,CHAMPION PLEASURE,PDC,"75,000",COND,dampier,daesan,9-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,OZ,NASIA,1
NAVIG8,NEW YORK STAR,OTI,"60,000",UMS,sikka,sohar,9-Jan-2017,$,280000.0,"BSS SOHAR, WS 122.5 BSS SPORE",FXD,1,2017,#REF!,WCI,AG,1
CHINA SHIPPING,SHAN HU ZUO,WINSON,"60,000",GO,daesan,taichung,9-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,NASIA,TAIWAN,1
CHINA SHIPPING,KONG QUE ZUO,CNR,"55,000",NAP,ras laffan,daesan,9-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
SHELL,NORSTAR INTREPID,SHELL,"55,000",NAP,sitra,yosu,9-Jan-2017,OP,OP,,FXD,1,2017,#REF!,AG,NASIA,1
SCORPIO,STI ALEXIS,SIAM CEMENT,"75,000",NAP,mina abdulla+mina al ahmadi,map ta phut,9-Jan-2017,WS,119.0,BSS JAPAN - INTENTION ALEXIS,FXD,1,2017,#REF!,AG,SEA,1
SUN ENTERPRISES,AMAZON FALCON,SINOPEC,"60,000",GO,DALIAN,SKOREA-OPTIONS,10-Jan-2017,RNR,RNR,NEWBUILDING,FXD,1,2017,#REF!,NCHINA,NASIA,1
GESCO,JAG AMISHA,IOC,"60,000",ULSD+UMS,sikka,chennai,10-Jan-2017,$,590000.0,BSS ECI,FXD,1,2017,#REF!,WCI,ECI,1
NAVIG8,LIA,TRAFIGURA,"65,000",ULSD,sikka,argentina,10-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,WCI,SAM,1
SCORPIO,STI MADISON,ATC,"80,000",ULSD,jubail,ras tanura,10-Jan-2017,$,210000.0,,FXD,1,2017,#REF!,AG,AG,1
SCORPIO,STI SPIGA,ATC,"80,000",ULSD,jubail,mombasa,10-Jan-2017,COA,COA,,FXD,1,2017,#REF!,AG,EAFR,1
VITOL,TORM ISMINI,VITOL,"60,000",CPP,asaluyeh,fujairah,10-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,AG,1
ARGYLL,ZENOVIA LADY,ENOC?,"40,000",JET,ruwais,fujairah,10-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,AG,1
ELETSON,ALONISSOS,SOCAR,"75,000",NAP,ras laffan,daesan,10-Jan-2017,WS,117.5,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,1
BP,KING PHILIPPOS,BP,"75,000",NAP,ras laffan,daesan,10-Jan-2017,OP,OP,,FXD,1,2017,#REF!,AG,NASIA,1
KOCH,MERKUR O,PDC,"55,000",NAP,mumbai + kochi,oita + kawasaki,10-Jan-2017,WS,110.0,BSS JAPAN,FXD,1,2017,#REF!,WCI,WCI,1
FORMOSA?,FPMC P IDEAL,SHELL,"90,000",JET,AG,UKC-OPTIONS,11-Jan-2017,$,1950000.0,BSS UKC,FXD,1,2017,#REF!,AG,UKC,2
RELIANCE,ORANGE STAR,RELIANCE,"100,000",ULSD,sikka,MED,11-Jan-2017,OP,OP,,FXD,1,2017,#REF!,WCI,MED,2
OTC,PO YANG HU,CNR,"60,000",GO,nakhodka,yosu,11-Jan-2017,RNR,RNR,poss misreport,FXD,1,2017,#REF!,NASIA,NASIA,2
SKS,SKS DELTA,MITSUI,"80,000",COND,dampier,tuban,11-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,OZ,SEA,2
CARGILL,MEI LIN WAN,MARUBENI,"75,000",NAP,ruwais,oita + nagoya,11-Jan-2017,WS,113.0,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,2
KPC,AL SOOR II,KPC,"60,000",CPP,mina al ahmadi,bin qasim,12-Jan-2017,OP,OP,,FXD,1,2017,#REF!,AG,AG,2
ST SHIPPING,ALPINE PERSEFONE,CLEARLAKE,"40,000",GO?,fujairah,karachi,12-Jan-2017,$,200000.0,,FXD,1,2017,#REF!,AG,WCI,2
MENA,BW THAMES,CNR,"60,000",CPP,sungai udang,taichung,12-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,SEA,TAIWAN,2
TAURUS,FOUR SKY,AMPOL,"75,000",ULSD?,daesan,botany bay,12-Jan-2017,WS,117.5,,FXD,1,2017,#REF!,NASIA,OZ,2
ST SHIPPING,FRONT TIGER,RELIANCE,"90,000",ULSD,sikka,turkey,12-Jan-2017,$,1750000.0,"BSS WMED, $1.65 BSS EMED",FXD,1,2017,#REF!,WCI,MED,2
MENA ENERGY,MARE NOSTRUM,CNR,"90,000",CPP,sikka,TURKEY,12-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,WCI,MED,2
KOCH,NEPTUN D,CLEARLAKE,"60,000",UMS,ruwais,FUJAIRAH,12-Jan-2017,$,225000.0,BSS FUJAIRAH,FXD,1,2017,#REF!,AG,AG,2
KOCH,NEW CENTURY,ATC,"55,000",NAP,ras tanura,huizhou+ulsan,12-Jan-2017,WS,110.0,BSS JAPAN,FXD,1,2017,#REF!,AG,SCHINA+NASIA,2
ST SHIPPING,RUBY EXPRESS,MARUBENI,"75,000",NAP,ras laffan+mina al ahmadi,chiba,12-Jan-2017,WS,98.0,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,2
BW,BW SEINE,PETROCHINA,"60,000",UMS,dalian,singapore,13-Jan-2017,$,440000.0,BSS SPORE,FXD,1,2017,#REF!,NCHINA,SEA,2
DYNACOM,MARGARITA,SHELL,"65,000",JET,bahrain,jebel ali,13-Jan-2017,$,225000.0,P+C OURS,FXD,1,2017,#REF!,AG,AG,2
PRODUCT SHIPPING,OKYROE,SHELL,"65,000",JET,sikka,UKC-OPTIONS,13-Jan-2017,$,1350000.0,BSS UKC,FXD,1,2017,#REF!,WCI,UKC,2
KYKLADES,POLIEGOS,TRAFIGURA?,"150,000",GO,ULSAN,LUANDA,13-Jan-2017,RNR,RNR,NEWBUILDING,FXD,1,2017,#REF!,NASIA,WAFR,2
SHELL,SALAMINA,SHELL,"60,000",GO,SIKKA,EAFR-UKC-OPTS,13-Jan-2017,OP,OP,NEEDS TRACKING,FXD,1,2017,#REF!,WCI,EAFR,2
NAVIG8,NAVE RIGEL,ITOCHU,"55,000",NAP,rabigh,singapore,13-Jan-2017,WS,110.0,BSS JAPAN,FXD,1,2017,#REF!,RSEA,SEA,2
BW,BW RHINE,TOTAL,"60,000",UMS,sikka,jebel ali ,14-Jan-2017,WS,125.0,BSS EAFR/SPORE,FXD,1,2017,#REF!,WCI,AG,2
BP,LADY HENRIETTA,ATC,"90,000",GO,onsan,pengerang,14-Jan-2017,$,450000.0,BSS SPORE,FXD,1,2017,#REF!,NASIA,SEA,2
SCORPIO,RATNA NAMRATA,WINSON,"80,000",GO,singapore,singapore,14-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,SEA,SEA,2
SCORPIO,STI WINNIE,ATC,"80,000",ULSD,jubail,ras tanura,14-Jan-2017,$,350000.0,"BSS UKC, $2.165 BSS UKC",FXD,1,2017,#REF!,AG,AG,2
ST SHIPPING,ALPINE AQUALINA,ASAHI,"75,000",NAP,ras laffan,tokuyama,14-Jan-2017,WS,117.5,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,2
SHELL,IASONAS,VITOL,"75,000",NAP,ruwais,kaohsiung,14-Jan-2017,WS,120.0,BSS JAPAN,FXD,1,2017,#REF!,AG,TAIWAN,2
ADNATCO,LIWA-V,SIAM CEMENT,"75,000",NAP,ruwais,map ta phut,14-Jan-2017,WS,PLATTS,PLATTS WITH WS 117.5 FLOOR,FXD,1,2017,#REF!,AG,SEA,2
ADNATCO,MEZAIRA'A,HPL,"55,000",NAP,jebel ali,vizak+haldia,14-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,ECI,2
VITOL,DONG-A MAIA,TRAFIGURA,"90,000",ULSD,sikka,new york,15-Jan-2017,$,1825000.0,BSS UKC,FXD,1,2017,#REF!,WCI,USAC,2
HEIDMAR,EVRIDIKI,VALERO,"65,000",JET,onsan,los angeles,15-Jan-2017,$,"1,200,000.0","BSS USWC, $1.4 BSS USG",FXD,1,2017,#REF!,NASIA,USWC,2
PRODUCT SHIPPING,LA BOHEME,TRAFIGURA,"60,000",UMS,mailiao,tanjung langsat,15-Jan-2017,$,"370,000.0",NEEDED TO LOAD MTBE,FXD,1,2017,#REF!,TAWAIN,SEA,2
NAVIG8,NAVIG8 PRECISION,SHELL,"65,000",JET,kuwait,portbury,15-Jan-2017,$,1275000.0,BSS UKC,FXD,1,2017,#REF!,AG,UKC,2
BW,BW YANGTZE,TITAN,"55,000",NAP,ruwais,pasir gudang,15-Jan-2017,WS,PLATTS,,FXD,1,2017,#REF!,AG,SEA,2
DYNACOM,MAISTROS,VITOL,"65,000",UMS,fujairah,karachi,16-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,WCI,2
SHELL,SHELL TBN,SHELL,"60,000",UMS?,SINGAPORE,HONG KONG,16-Jan-2017,OP,OP,POSS SUNRISE,FXD,1,2017,#REF!,SEA,SEA,2
SHELL,SUNRISE,SHELL,"60,000",UMS?,quanzhou,balongan,16-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,SCHINA,SEA,2
OTC,OCEAN QUEST,COSMO,"75,000",NAP,mina al ahmadi,chiba,16-Jan-2017,WS,PLATTS,WS 151 FLOOR - WS 161 CEILING,FXD,1,2017,#REF!,AG,NASIA,2
ST SHIPPING,SCF PIONEER,BP,"55,000",NAP,vadinar,singapore,16-Jan-2017,WS,112.5,APPARENTLY TAKEN WEST OPTIONS @ $1.35,FXD,1,2017,#REF!,WCI,SEA,2
SCI,SWARNA KAVERI,BP,"55,000",NAP,sikka,mailiao,16-Jan-2017,WS,114.0,BSS JAPAN,FXD,1,2017,#REF!,WCI,TAIWAN,2
ATC,ELKA APOLLON,ATC,"80,000",ULSD,yanbu,dar es salaam,17-Jan-2017,OP,OP,,FXD,1,2017,#REF!,RSEA,EAFR,2
TORM,TORM VENTURE,OTI,"60,000",UMS,sikka,oman,17-Jan-2017,$,280000.0,BSS AG,FXD,1,2017,#REF!,WCI,AG,2
HEIDMAR,ESTIA,VITOL,"55,000",NAP,port qasim + new mangalore,singapore,17-Jan-2017,WS,90.0,,FXD,1,2017,#REF!,AG+WCI,SEA,2
SHELL,HAMBURG STAR,SHELL,"65,000",JET,ruwais ,milford haven,18-Jan-2017,RNR,RNR,RPTD TO BE TCT,FXD,1,2017,#REF!,AG,UKC,2
ZODIAC,KINGS ROAD,ATC,"60,000",UMS,yanbu,mombasa,18-Jan-2017,WS,120.0,BSS EAFR,FXD,1,2017,#REF!,RSEA,EAFR,2
SHELL,SELINI,PETROCHINA,"60,000",UMS,mizushima,SPORE,18-Jan-2017,$,480000.0,BSS SPORE,FXD,1,2017,#REF!,NASIA,SEA,2
SCORPIO ,STI MADISON,VITOL,"75,000",CNR,ras tanura,singapore,18-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
MAERSK ,LR2 PIONEER,VITOL,"75,000",NAP,ruwais,daesan+ulsan+onsan,18-Jan-2017,WS,110.0,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,2
KOCH,ABBEY ROAD,CLEARLAKE,"60,000",UMS,fujairah,pakistan,19-Jan-2017,$,225000.0,BSS PAKISTAN,FXD,1,2017,#REF!,AG,WCI,2
DYNACOM,ATHINA,VITOL,"40,000",GO,vadinar,suez+jeddah,19-Jan-2017,$,250000.0,"BSS FUJ, $600K BSS SUEZ",FXD,1,2017,#REF!,WCI,RSEA,2
HEIDMAR,FAIR SEAS,SK ENERGY,"60,000",GO,ulsan,singapore,19-Jan-2017,$,450000.0,GLORIOUS RUNNING LATE - NATURAL LR1,FXD,1,2017,#REF!,NASIA,SEA,2
GEM,GULF COAST,TRAFIGURA,"60,000",UMS,vadinar,jebel ali,19-Jan-2017,WS,122.5,"BSS SPORE, $280 AG",FXD,1,2017,#REF!,WCI,AG,2
VITOL,JO PROVEL,TOTAL,"65,000",JET,sikka,malta sts,19-Jan-2017,$,1325000.0,BSS UKC,FXD,1,2017,#REF!,WCI,MED,2
CARGILL,KING DOUGLAS,AMPOL,"60,000",JET,yangpu,kurnell + gladstone,19-Jan-2017,WS,113.0,BSS OZZY,FXD,1,2017,#REF!,SCHINA,OZ,2
PRIME,LAKE STURGEON,CLEARLAKE,"60,000",UMS,sikka,fujairah,19-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,WCI,AG,2
NAVIG8,NAVIG8 PROVIDENCE,HOB,"60,000",UMS+ALKY+GO,DAESAN,SINGAPORE,19-Jan-2017,$,475000.0,BSS SPORE,FXD,1,2017,#REF!,NASIA,SEA,2
RELIANCE,STI ROSE,RELIANCE,"100,000",ULSD,sikka,singapore,19-Jan-2017,OP,OP,,FXD,1,2017,#REF!,WCI,SEA,2
HEIDMAR,NEW CHALLENGE,MARUBENI,"55,000",NAP,das island,japan,19-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,2
SHELL,PACIFIC A.DORODCHI,SHELL,"75,000",NAP,ruwais,singapore,19-Jan-2017,OP,OP,,FXD,1,2017,#REF!,AG,SEA,2
ADNATCO,YAMILAH-III,CNR,"60,000",CPP,ras laffan,ruwais,19-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,AG,2
SCORPIO,DENSA CROCODILE,VITOL,"40,000",UMS/ALKY,mailiao,yosu + ulsan,20-Jan-2017,TCT,TCT,,FXD,1,2017,#REF!,TAWAIN,NASIA,2
RELIANCE,PINK STARS,RELIANCE,"100,000",ULSD,sikka,EMED,20-Jan-2017,OP,OP,,FXD,1,2017,#REF!,WCI,MED,2
KYKLADES,POLIEGOS ,TRAFIGURA,"130,000",GO,ulsan,WAFR,20-Jan-2017,T/C,RNR,NEWBUILD,FXD,1,2017,#REF!,NASIA,WAFR,2
SCORPIO,STI SLOANE,ATC,"90,000",GO,ONSAN,SINGAPORE-AG-RSEA,20-Jan-2017,$,430000.0,BSS SPORE,FXD,1,2017,#REF!,NASIA,TBN,2
OTC,TAI HU,CNR,"60,000",CPP,KUWAIT,OPTIONS,20-Jan-2017,RNR,RNR,POSS DUPLICATE,FXD,1,2017,#REF!,AG,TBN,2
TORM,TORM SIGNE,BP,"40,000",ULSD,sohar,hong kong,20-Jan-2017,$,190000.0,,FXD,1,2017,#REF!,AG,SCHINA,2
CCI,UACC FALCON,CCI?,"65,000",JET,DAESAN,OPTIONS,20-Jan-2017,OP,OP,,FXD,1,2017,#REF!,NASIA,TBN,2
SCORPIO,STI ORCHARD,ATC,"75,000",NAP,ras laffan + mesaieed,yosu,20-Jan-2017,WS,120.0,BSS JAPAN,FXD,1,2017,#REF!,AG,NASIA,2
DYNACOM,CONSTANTINOS,WINSON,"60,000",JET,mailiao,hong kong,21-Jan-2017,RNR,RNR,NEEDS CHECKING,FXD,1,2017,#REF!,TAWAIN,SEA,3
STRAITS,MAGIC VICTORIA,ENOC,"60,000",ULSD,ruwais,jebel ali,21-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,AG,3
NAVIG8,NAVIG8 EXPERIENCE,WINSON,"60,000",JET,vadinar,singapore,21-Jan-2017,RNR,RNR,SWAPPED IN FOR NAVIG8 HONOR,FXD,1,2017,#REF!,WCI,SEA,3
NAVIG8,NEW YORK STAR,TOTAL,"60,000",UMS,jubail,jebel ali,21-Jan-2017,$,200000.0,LEVELS,FXD,1,2017,#REF!,AG,AG,3
PRODUCT SHIPPING,RES COGITANS,VALERO,"65,000",JET,yosu,USWC-OPTIONS,21-Jan-2017,$,1250000.0,RPTD BSS USWC,FXD,1,2017,#REF!,NASIA,USWC,3
TOTAL,SEA ODYSSEY ,TOTAL,"90,000",GO,QUANZHOU,SINGAPORE-OPTIONS,21-Jan-2017,OP,OP,NEWBUILD,FXD,1,2017,#REF!,SCHINA,TBN,3
NAVIG8,SUBS,SHELL,"60,000",GO,SOHAR,KARACHI,21-Jan-2017,$,225000.0,BSS KARACHI,FXD,1,2017,#REF!,AG,WCI,3
STRAITS,UACC IBN SINA,ENOC,"60,000",JET,mina al ahmadi,jebel ali,21-Jan-2017,$,210000.0,,FXD,1,2017,#REF!,AG,AG,3
NAVIG8,CAPTAIN JOHN,DAELIM,"75,000",NAP,mina al ahmadi,yosu,21-Jan-2017,WS,PLATTS,WS 115 FLOOR,FXD,1,2017,#REF!,AG,NASIA,3
DYNACOM,SCIROCCO,HPL,"55,000",NAP,rabigh,haldia,21-Jan-2017,WS,165.0,BSS ECI (2017),FXD,1,2017,#REF!,RSEA,ECI,3
SCORPIO,STI SAVILE ROW,ATC,"75,000",NAP,yanbu,map ta phut+singapore,21-Jan-2017,WS,120.0,BSS JAPAN - P+C OURS ,FXD,1,2017,#REF!,RSEA,SEA,3
STRAITS,BOW PIONEER,RELIANCE,"60,000",UMS/ALKY,sikka,gibraltar,22-Jan-2017,$,"1,625,000.0",BSS USAC - POSS DUPLICATION,FXD,1,2017,#REF!,WCI,MED,3
BP,BP TBN,BP,"75,000",COND,DAMPIER,OPTIONS,22-Jan-2017,OP,OP,,FXD,1,2017,#REF!,OZ,TBN,3
MENA,BW THAMES,CNR,"60,000",CPP,kaohsiung,singapore,22-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,TAWAIN,SEA,3
NAKATA,MORNING GLORY 8,WINSON,"60,000",JET,TAIWAN,HK-SPORE,22-Jan-2017,RNR,RNR,NEEDS CHECKING - POSS MISREPORT,FXD,1,2017,#REF!,TAWAIN,SEA,3
